iter,train_merror
1,0.228893
2,0.186127
3,0.15935
4,0.138482
5,0.121235
6,0.107155
7,0.095087
8,0.083094
9,0.073993
10,0.066023
11,0.058506
12,0.052119
13,0.047192
14,0.042616
15,0.039146
16,0.036003
17,0.033615
18,0.030145
19,0.027505
20,0.025519
21,0.024438
22,0.02215
23,0.02117
24,0.020088
25,0.019133
26,0.018203
27,0.01687
28,0.016191
29,0.015563
30,0.014859
31,0.013979
32,0.013401
33,0.012496
34,0.012018
35,0.011465
36,0.011088
37,0.010786
38,0.010459
39,0.010132
40,0.00968
41,0.009252
42,0.009001
43,0.008749
44,0.008397
45,0.008096
46,0.007844
47,0.007392
48,0.007115
49,0.006864
50,0.006688
51,0.006562
52,0.006386
53,0.006084
54,0.005908
55,0.005758
56,0.005582
57,0.005506
58,0.005255
59,0.005003
60,0.004727
61,0.004475
62,0.004174
63,0.004174
64,0.004048
65,0.003872
66,0.003872
67,0.003671
68,0.00362
69,0.00357
70,0.00352
71,0.00347
72,0.003319
73,0.003243
74,0.003168
75,0.003017
76,0.002841
77,0.002841
78,0.002841
79,0.002715
80,0.002665
81,0.002615
82,0.002464
83,0.002388
84,0.002288
85,0.002187
86,0.002137
87,0.002087
88,0.002062
89,0.002037
90,0.001961
91,0.001936
92,0.001936
93,0.00181
94,0.001785
95,0.00181
96,0.001735
97,0.001735
98,0.001685
99,0.001634
100,0.001609
101,0.001634
102,0.001584
103,0.001483
104,0.001483
105,0.001458
106,0.001433
107,0.001408
108,0.001408
109,0.001358
110,0.001358
111,0.001333
112,0.001257
113,0.001257
114,0.001182
115,0.001157
116,0.001131
117,0.001056
118,0.000981
119,0.001006
120,0.000981
121,0.000981
122,0.000981
123,0.000955
124,0.00088
125,0.00088
126,0.00083
127,0.000805
128,0.000805
129,0.000805
130,0.000805
131,0.000805
132,0.000779
133,0.000729
134,0.000729
135,0.000729
136,0.000704
137,0.000704
138,0.000704
139,0.000704
140,0.000704
141,0.000704
142,0.000704
143,0.000704
144,0.000704
145,0.000704
146,0.000704
147,0.000704
148,0.000704
149,0.000679
150,0.000679
151,0.000679
152,0.000654
153,0.000654
154,0.000654
155,0.000654
156,0.000654
157,0.000654
158,0.000629
159,0.000629
160,0.000629
161,0.000629
162,0.000629
163,0.000603
164,0.000603
165,0.000553
166,0.000553
167,0.000553
168,0.000553
169,0.000553
170,0.000553
171,0.000553
172,0.000553
173,0.000578
174,0.000553
175,0.000578
176,0.000553
177,0.000553
178,0.000553
179,0.000553
180,0.000553
181,0.000553
182,0.000553
183,0.000553
184,0.000553
185,0.000553
186,0.000553
187,0.000528
188,0.000528
189,0.000503
190,0.000503
191,0.000503
192,0.000503
193,0.000478
194,0.000478
195,0.000478
196,0.000478
197,0.000478
198,0.000503
199,0.000503
200,0.000478
